"(In French and In German) - Same as mass", "messe"
"Schonberg preferred this term to atonality (e.g. music not written in any definite key)", "pantonality"
"See concord", "discord"
"See serial music", "twelve note"
"set the temperament of an instrument", "tuning"
"Sets of eight-note scales inherited from ancient Greece via the Middle Ages in which they were most prevalent, although they still survive today in plainsong and folk music. At the end of the 17th century the modes had been reduced to two scales, major and minor, which we know today. Here are the modes which may be represented by scales of white notes on the piano with the names derived from the Greek system. The 'final' of a mode is the note of a cadence, or resting point, in a melody, and the 'dominant' is a reciting note", "modes"
"sixteenth note - one fourth of a quarter note", "six-four chord"
"Slow Austrian dance in waltz time popular in the late 18th and early l9th centuries", "landler"
"slower", "mosso"
"Small orchestras currently perform under this name. Originally the title described an instrumental piece in the baroque era such as the prelude, overture to an opera, cantata or suite", "sinfonia"
"Solely a string band as opposed to a wind or brass brand, normally consisting of first and second violins, violas, 'cellos and double basses", "string orchestra"
"Song or instrumental composition for the dead", "elegy"
"Spanish stage entertainment involving a few singers", "Tonadilla"
"String(s) - In piano playing, una corda (one string) indicates the use of the soft (left) pedal. The term tre corde (three strings) cancels this, indicating the release of the soft pedal", "corda"
"Style of playing in which there are no gaps between notes", "legato"
"Term borrowed from painting, describing the works of Monet, Degas, etc. and transferred to music referring to the atmospheric music of Debussy and Ravel. A famous example is Prelude a l'apres-midi d'un faune by Debussy evoking the imagery of Mallarme's symbolist poem", "impresslonlsm"
"Term describes a song which uses the same music for each verse", "strophic"
"Term describes the use of several choirs performing both separately and jointly in a composition", "polychoral"
"Term describing music before Haydn and Mozart and also (more vaguely) describing music before Bach", "preclassical"
"Term meaning continue playing an octave higher or lower", "8va segue"
"Term taken from painting (referring to pictures using separate dots of colour) and applied to the music of some 20th century composers (e.g. Webern). This described music of a spare and pointed style emplying use of pizzicato", "pointillism"
"Term used by German composers who believed it to be Italian for minuet. The Italian for minuet is minuetto", "menuetto"
"The art of spontaneous composition of music in performance. This may take the form of ornamentaion, variation of a song or theme, or completely new material. Improvisation is greaty used in jazz", "improvisation"
"The C clef on the fourth line", "tenor clef"
"The chord containing the sixth and third intervals from the bass note. Same as first inversion of a triad", "six-three chord"
"The combining of different metres simultaneously (e.g. 2 / 4 against 3 / 4 or 6 / 8)", "polymetry"
"The completion of 17th and 18th century harmony by adding a keyboard accompaniment indicated by figured bass", "realisation"
"The composing of polyphonic music and the writing of equally good melodic parts", "part-writing"
"The degrees of softness or loudness in music indicated by signs or words on the score", "dynamics"
"The downward movement of the conductor' s baton or hand indicating the first beat of the bar. The term can also mean the first beat of the bar", "downbeat"
"The equivalent of two quarter notes or half of a whole note (two beats in 4 / 4 time)", "half note"
"The first degree of the scale or a triad built on that degree", "tonic"
"The fudamental or lowest note of the harmonic series especially applied to the playing of brass instruments", "pedal"
"The highest adult male voice or lowest female voice", "alto"
"The initial statement of a musical theme or idea upon which a rnovement or piece is based. In a fugue, the exposition is the initial statement of the subject by each voice in turn. The exposition is completed when each voice has been heard for the first time. In sonata form, it is a repeated section in which the main themes are first stated before moving on to the development section", "exposition"
"The interval of eight steps (e.g. C to C on the white notes of the piano)", "octave"
"The interval of three tones (e.g. F to B)", "tritone"
"The left foot pedal on a piano lessening the volume", "soft pedal"
"The lower type of female voice having a range from F below middle C to G above the treble clef", "contralto"
"The lowest or fundamental note of a chord. In the chord C E G, C is the root and the chord is said to be in root position. If the notes are arranged E G C, C is still the root, but the chord would be described as being in first inversion", "root"
"The mode which, on the white keys of the piano, is represented by E to E", "phrygian mode"
"The mode which, on the white keys of the piano, is represented from C to C (same as C major scale)", "ionian mode"
"The modification or development of a theme, passage or figure with the theme always remaining recognizable", "variation"
"The movement from one note or chord to another in music", "progression"
"The movement of two or more parts in the same direction while also keeping the same interval between them", "parallel motion"
"The music is to be performed in three bar groupings, implying that the music is so fast there is only one beat to the bar", "Ritmo di tre battute"
"The music of a particular voice or instrument in an ensemble", "part"
"The name for the fourth degree of the scale (e.g. F in the scale of C major) or the triad built on that degree", "sub-dominant"
"The notation in diagrams of guitar chords in pop music. Previously, it represented a method of notation involving symbols denoting the positions of the performer's fingers (e.g. for the lute", "tablature"
"The note on which the melody ends in church modes. In authentic modes, the final is on the tonic. In plagal modes, it falls on the fourth degree of the scale", "final"
"The opposite of legato", "staccato"
"The performance of a group of adjacent notes simultaneously on the piano, e. g. with the forearm or a piece of wood. Pioneered by Cowell in 1912 and used by Ives. Also known as tone cluster", "note cluster"
"The playing of three notes simultaneously on a stringed instrument by the placing of the left hand fingers on the strings and shortening the vibrating length", "triple stop"
"The rapid articulation of T-K-T on a wind instrument. This is difficult to do on reed instruments", "triple tonguing"
"The right pedal on the piano which raises the felt dampers allowing the strings to vibrate freely", "sustaining pedal"
"The scale of seven notes (e.g. the modern major or minor scale)", "heptachord"
"The second degree of the scale (e.g. D in the scale of C major) or the triad built on that degree", "supertonic"
"The section of a movement when initial statements of themes are expanded, developed, modified and broken up", "development"
"The set of five horizontal lines and spaces on which music is written. Leger lines are used for notes above and below the staff", "stave"
"The setting of a poem entitled 'ode' to music", "ode"
"The seventh degree of the major scale. This is so called because it seems naturally to rise to the tonic a semitone above. In the minor scale this note is used only when ascending, not descending", "leading note"
"The shift from one key to another in composition", "modulate"
"The sign of figures at the beginning of a composition or section or movement indicating the number and kind of beats to the bar (e.g. 3 / 4 indicates 3 beats to the bar, with the number 4 signifying that the basic beat is a quarter note)", "time signature"
"The sixth degree of the scale (e.g. A in the scale of C major) or a triad built on that degree", "sub-mediant"
"The sliding up or down a scale, often abbreviated by gliss. or a wavy or straight stroke between the highest and lowest note", "glissando"
"The smallest interval commonly used in European music. On the piano this is represented by the interval between any note and the next note which may be higher or lower", "semitone"
"The sound of two or more voices singing simultaneously at the same pitch. Unison song, a song for several people all singing the same tune", "unlson"
"The sounding together of notes in a musically significant manner. The main unit of harmony is the chord. The chords are built around the degrees of the scale. The primary chords in most popular compositions are based on the first, fourth and fifth degree of a scale. Many different theories have evolved over the past few centuries about the construction and interpolation of chords to create various senses of musical movement or intellectual or emotional responses", "harmony"
"The sounding together of two or more separate parts of rhythmic and melodic independence, in harmony. Invertible counterpoint occurs when any one melody strand can exchange its position for another (e.g. the bass becomes treble). Between two parts, this is called double counterpoint", "counterpoint"
"The stress given to one tone over another", "accent"
"The symbol to determine the relative position of notes on the musical staff, placed normally at the beginning of each line, or whenever a different clef temporarily replaces the starting clef (to make notes fit more easily on the staff). There are many possible clefs (e.g. treble, bass, alto and tenor) chosen to accomodate the range of various instruments or voices. In piano music, the double staff (a staff for each hand) uses treble or bass clefs", "clef"
"The system of tuning intervals in order to fit them for practicable performance. The piano, organ and other fixed instruments are tuned to equal temperament which means that each semitone is made an equal interval so that (e.g. G sharp and A flat are the same)", "temperament"
"The systematic plan of beginning in one key and ending in another in a movement", "progressive tonality"
"The systematic use of quite different rhythms sounding simultaneously. Polyrhythmic devices are especially used in the 20th century", "polyrhythm"
"The tones of the harmonic series, the lowest being thefirst partial and the others the upper partials or overtones", "partials"
"The treatment of a melody by shortening the time values of notes, usually by half (e.g. in fugues and canons)", "diminution"
"The turning upside-down of a chord or single melody (by applying intervals in opposite directions) or two melodies in counterpoint by the upper melody becoming the lower and vice-versa. This last method is called invertible counterpoint", "inversion"
"The upward movement of a conductor's hand or baton, especially indicating the beat before the main accent in a bar of music", "upbeat"
"The use of two or more keys performed simultaneously and employed by Stravinsky, Holst and Milhaud. When only two keys are used, this is referred to as bitonality", "polytonality"
"The writing down or performing of music in a different key from the original", "transposition"
"These are the intervals of the octave, fourth and fifth", "perfect intervals"
"This describes the basic rhythmical patterns in music (e.g. 6 / 8 time or 4 / 4 time). Also march time, waltz time, etc", "time "
"This describes the dominant of the dominant", "secondary dominant"
"This indicates the precise key of the piece. Sharps or flats are placed at the beginning of a composition after the clef. Any other alteration (e.g. a brief modulation to another key, is indicated by accidentals. If there is an extended passage in a new key, however, then a new key signature may appear. The key signature must be represented at the beginning of every new stave in a composition (although not always in popular music)", "key signature"
"This is indicated by a time signature dividing up the music into regularly occurring accents (e.g. 3 / 4 time means that the basic note values are quarter notes and that every third one is accented)", "metre"
"This is the main service of the Roman Catholic Church which has been set to music by composers including Bach, Mozart and Haydn", "mass"
"This is the Passion of Christ, as accounted by Matthew, Mark, Luke and John, set to music and properly performed during Holy Week", "passion music"
"This occurs in 20th century serial music, also called dodecaphonic music or twelve-note music. It is the order in which the composer chooses to arrange the twelve notes, which serves as the foundation of the composition. novelette (Eng.) or novellette (In German) - A short, instrumental, romantic piece. The term was first used by Schumann for a piano work in 1848", "note row"
"This term described a short, keyboard piece or a set of short pieces in the 17th and 18th centuries", "lesson"
"This term is sometimes attached to a fugue or canon to describe two or more parts appearing simultaneously, with one the correct way up and the other upside down, as if a mirror had been placed between them", "mirror"
"This term refers to each key signature being shared by two keys (e.g. A minor is the 'relative' minor of C major since they both have no sharps or flats in the key signature. D major is the relative major of B minor since both keys have two sharps in the key signature", "relative"
"This term was taken from French culture in the early 18th century, but musically the title for rococo is the style galant used by composers throughout Europe until the late 18th century", "rococo"
"This word is associated with recitative", "secco "
"Time consisting of three beats to the bar (e.g. 3 / 4, 3 / 2, 3 / 8)", "triple time"
"Time in which each beat is divisible by two (e.g. 2 / 4, 4 / 4, 3 / 4 and in which each beat is a quarter note)", "simple time"
"Time in which the number of beats in the bar is divisible by two or four (e.g. 2 / 4, 4 / 4, 2 / 2)", "duple time"
"Time with five beats, usually quarter notes, to the bar (e.g. 5 / 4 time). Not common before the 20th century", "quintuple time"
"To direct a performance of either singers, players or both with a baton or hands in order to give precise indications of dynamics, phrasing and speed", "conduct"
"To slide up to a note in singing instead of hitting it accurately", "scoop"
"Two bar lines placed closely together to signify the end of a composition or section", "double bar"
"Two melodies moving together in the same direction", "similar motion"
"Two or more melodies sounding against one another is called this", "counterpoint"
"Upper register of voice", "head voice"
"Very sweetly", "dolcissimo"
"what is fortissimo", "very loud"
"what is prestissimo", "extremely fast"
"what is ritardando", "slowing down"
"With a moderate tone", "Mezza voce"
"with grandeur", "con grandezza"
"Written music, by ordinary staff notation symbols or graphic representation or simply by letter-names (e.g. the tonic sol-fa", "notation"
